File	Package
/epoc32/data/z/private/10003a3f/apps/creator_reg.rsc	app/rndtools
/epoc32/data/z/private/10003a3f/apps/csc_reg.rsc	app/iptelephony
/epoc32/data/z/private/10003a3f/apps/cshelp_reg.rsc	app/helps
/epoc32/data/z/private/10003a3f/apps/ddviewer_reg.rsc	mw/web
/epoc32/data/z/private/10003a3f/apps/defaultappserver_reg.rsc	app/settingsuis
/epoc32/data/z/private/10003a3f/apps/devdiagapp_reg.rsc	app/devicecontrol
/epoc32/data/z/private/10003a3f/apps/devencui_reg.rsc	app/files
/epoc32/data/z/private/10003a3f/apps/drmencryptor_reg.rsc	mw/drm
/epoc32/data/z/private/10003a3f/apps/drmrightsmanager_reg.rsc	mw/drm
/epoc32/data/z/private/10003a3f/apps/emailwidgetsettings_reg.rsc	app/commonemail
/epoc32/data/z/private/10003a3f/apps/eshell_reg.rsc	mw/appsupport
/epoc32/data/z/private/10003a3f/apps/eswt_reg.rsc	app/jrt
/epoc32/data/z/private/10003a3f/apps/evthandlerapp_reg.rsc	app/location
/epoc32/data/z/private/10003a3f/apps/evtmgmtui_reg.rsc	app/location
/epoc32/data/z/private/10003a3f/apps/filebrowser_reg.rsc	app/rndtools
/epoc32/data/z/private/10003a3f/apps/filemanager_reg.rsc	app/files
/epoc32/data/z/private/10003a3f/apps/fotaserver_reg.rsc	mw/remotemgmt
/epoc32/data/z/private/10003a3f/apps/freestyleemailui_reg.rsc	app/commonemail
/epoc32/data/z/private/10003a3f/apps/fsmailserver_reg.rsc	app/commonemail
/epoc32/data/z/private/10003a3f/apps/homescreen_reg.rsc	mw/homescreensrv
/epoc32/data/z/private/10003a3f/apps/hsbrowser_reg.rsc	mw/wirelessacc
/epoc32/data/z/private/10003a3f/apps/iaupdate_reg.rsc	mw/appinstall
/epoc32/data/z/private/10003a3f/apps/iaupdatelauncher_reg.rsc	mw/appinstall
/epoc32/data/z/private/10003a3f/apps/iaupdater_reg.rsc	mw/appinstall
/epoc32/data/z/private/10003a3f/apps/imageeditor_reg.rsc	app/imgeditor
/epoc32/data/z/private/10003a3f/apps/imageprintapp_reg.rsc	app/printing
/epoc32/data/z/private/10003a3f/apps/imcvuiapp_reg.rsc	app/conversations
/epoc32/data/z/private/10003a3f/apps/iptvprovisioningapp_reg.rsc	app/videoplayer
/epoc32/data/z/private/10003a3f/apps/javacontrolpanel_reg.rsc	app/jrt
/epoc32/data/z/private/10003a3f/apps/javainstaller_reg.rsc	app/jrt
/epoc32/data/z/private/10003a3f/apps/launcher_reg.rsc	app/rndtools
/epoc32/data/z/private/10003a3f/apps/lcdui_reg.rsc	app/jrt
/epoc32/data/z/private/10003a3f/apps/lmkmsgviewer_reg.rsc	app/location
