ROM file,Host file,Iby file,Package,In/Out,Who,Why
private\10003a3f\import\apps\BrowserNG_reg.rsc,/epoc32/data/z/private/10003a3f/apps/browserng_reg.rsc,core/app/BrowserUi.iby,app/webuis,,,
Private\10003a3f\apps\bttoggle_reg.rsc,/epoc32/data/z/private/10003a3f/apps/bttoggle_reg.rsc,core/mw/bteng.iby,mw/btservices,,,
Private\10003a3f\apps\BtUi_reg.rsc,/epoc32/data/z/private/10003a3f/apps/btui_reg.rsc,core/mw/btui.iby,mw/btservices,,,
Private\10003a3f\import\apps\bva_reg.rsc,/epoc32/data/z/private/10003a3f/apps/bva_reg.rsc,core/app/Bva.iby,app/messaging,,,
Private\10003a3f\apps\CalcSoft_reg.rsc,/epoc32/data/z/private/10003a3f/apps/calcsoft_reg.rsc,core/app/calcsoft.iby,app/utils,,,
private\10003a3f\import\apps\CALENDAR_REG.RSC,/epoc32/data/z/private/10003a3f/apps/calendar_reg.rsc,core/app/calendar.iby,app/organizer,,,
Private\10003a3f\import\apps\cameraapp_reg.rsc,/epoc32/data/z/private/10003a3f/apps/cameraapp_reg.rsc,core/app/cameraapp.iby,app/camera,,,
private\10003a3f\import\apps\cbsuiapp_reg.rsc,/epoc32/data/z/private/10003a3f/apps/cbsuiapp_reg.rsc,core/mw/CbsUiApp.iby,mw/phonesrv,,,
private\10003a3f\apps\ccaapp_reg.rsc,/epoc32/data/z/private/10003a3f/apps/ccaapp_reg.rsc,core/app/ccaapp.iby,app/contacts,,,
Private\10003a3f\apps\CERTSAVER_reg.rsc,/epoc32/data/z/private/10003a3f/apps/certsaver_reg.rsc,core/mw/CertSaver.iby,mw/securitysrv,,,
Private\10003a3f\import\apps\CodViewer_reg.rsc,/epoc32/data/z/private/10003a3f/apps/codviewer_reg.rsc,core/mw/CodHandler.iby,mw/web,,,
Private\10003a3f\apps\ConnectionMonitorUi_reg.rsc,/epoc32/data/z/private/10003a3f/apps/connectionmonitorui_reg.rsc,core/mw/ConnectionMonitorUi.iby,mw/ipconnmgmt,,,
Private\10003a3f\import\apps\ConnTest_reg.rsc,/epoc32/data/z/private/10003a3f/apps/conntest_reg.rsc,core/tools/ConnTest.iby,app/conntools,,,
Private\10003a3f\import\apps\Creator_reg.rsc,/epoc32/data/z/private/10003a3f/apps/creator_reg.rsc,core/tools/creator.iby,app/rndtools,,,
Private\10003a3f\import\apps\CSC_reg.rsc,/epoc32/data/z/private/10003a3f/apps/csc_reg.rsc,core/app/csc.iby,app/iptelephony,,,
Private\10003a3f\apps\cshelp_reg.rsc,/epoc32/data/z/private/10003a3f/apps/cshelp_reg.rsc,core/app/Cshelp.iby,app/helps,,,
Private\10003a3f\import\apps\DdViewer_reg.rsc,/epoc32/data/z/private/10003a3f/apps/ddviewer_reg.rsc,core/mw/CodHandler.iby,mw/web,,,
Private\10003a3f\apps\DefaultAppServer_reg.rsc,/epoc32/data/z/private/10003a3f/apps/defaultappserver_reg.rsc,core/app/defaultapplicationsettings.iby,app/settingsuis,,,
Private\10003a3f\import\apps\devdiagapp_reg.rsc,/epoc32/data/z/private/10003a3f/apps/devdiagapp_reg.rsc,core/app/devdiagapp_ui.iby,app/devicecontrol,,,
Private\10003a3f\apps\DevEncUi_reg.rsc,/epoc32/data/z/private/10003a3f/apps/devencui_reg.rsc,core/app/DevEncryption.iby,app/files,,,
Private\10003a3f\apps\DRMENCRYPTOR_reg.rsc,/epoc32/data/z/private/10003a3f/apps/drmencryptor_reg.rsc,core/mw/drmencryptor.iby,mw/drm,,,
